森下労務管理事務所,金子　庄一,321-0972宇都宮市下川俣町206-163,028-661-8589,None
神長社会保険労務士事務所,神長　稔之,321-0165宇都宮市緑5-6-4,028-645-2656,None
おかもと社会保険労務士事務所,岡本　かおり,None,None,None
ひがし社会保険労務士事務所,東　　智子,321-0924宇都宮市下栗町1-10-4ｽｶｲﾌﾟﾗｻﾞ宇梶Ａ302,090-1765-6883,None
社会保険労務士法人ＲＯＭＥＳＴ,小針　功,321-0944宇都宮市東峰町3097-1,028-616-3510,028-616-3520
きくち社会保険労務士事務所,菊地　幸子,329-1104宇都宮市下岡本町2087-3,028-673-5344,None
屋代労務管理事務所,屋代　正道,320-0061宇都宮市宝木町2-1051-17,028-625-2980,None
関労務管理事務所,関　　　敏之,329-1104宇都宮市下岡本町3780-19,028-673-0303,028-673-3096
石川労務管理・司法書士事務所,石川　裕隆,320-0049宇都宮市一ノ沢町285-28メゾン一の沢101,028-612-5515,028-612-5588
アグリ労務管理事務所,山川　莊二,321-0923宇都宮市下栗町2916-9ｴｲﾑﾋﾞﾙ304,028-616-8814,None
今井労務管理事務所,今井　敬史,320-0838宇都宮市吉野2-1-2,028-678-9131,None
池田功社労法務事務所,池田　功,321-0166宇都宮市今宮2-17-1むぎくら今宮ビル2-Ａ,028-666-0155,None
みのわ経営労務オフィス,箕輪　真理,320-0072宇都宮市若草3-16-23,028-678-5017,None
大関社会保険労務士事務所,大関　有希,None,None,None
わち社会保険労務士事務所,和知　英夫,324-0617那須郡那珂川町北向田68,0287-92-5521,0287-92-5521
北関東経営労務管理事務所,久保田　正則,320-0851宇都宮市鶴田1-1-14,028-666-8273,028-666-8768
社会保険労務士　ひしだ久子事務所,菱田　久子,321-0152宇都宮市西川田5-33-6,090-1778-8665,None
むつめ社会保険労務士事務所,佐藤　智幸,321-0944宇都宮市東峰町3442-105,028-678-6127,028-678-6127
小野労務管理事務所,小野　弓子,321-0121宇都宮市雀宮町162-12,028-678-2919,028-678-2950
栃木県央経営労務管理事務所,渡辺　良男,320-0041宇都宮市松原2-3-21,028-627-2036,028-666-0436
栃木労務管理事務所,伊藤　公子,320-0046宇都宮市西一の沢町15-34,028-648-8426,None
宇都宮労務管理事務所,福島　健寿,321-0945宇都宮市宿郷2-7-3ＩＲビル宿郷4階,028-612-4911,None
武田社会保険労務士事務所,武田　　靖,321-0131宇都宮市宮の内-1-172-8プロムナード伍番館103,028-689-9303,028-689-9303
大橋社会保険労務士事務所,大橋　義弘,320-0833宇都宮市不動前1-3-43小林ビル2階,028-678-4605,None
社会保険労務士法人　原事務所,笹﨑　文明,321-0925宇都宮市東簗瀬1-30-1BOXBOX２階,028-639-8001,028-639-8002
松原社会保険労務士事務所,松原　靖子,321-0963宇都宮市南大通り1-7-16,028-637-9240,None
さくら社会保険労務士事務所,小野塚　教夫,321-0983宇都宮市御幸本町4871-164,028-662-6846,None
社会保険労務士あおば事務所,遠山　恵一,320-0005宇都宮市横山3-6-36,028-678-3993,028-678-3992
みどり社会保険人事労務キャリア相談室,田野　賢司,321-0165宇都宮市緑2-2-11,028-658-7010,None
宇都宮中央労務管理事務所,半田　安男,320-0072宇都宮市若草3-1-10リステル西村Ⅱ101,028-621-5647,None
社会保険労務士法人鍋島事務所,鍋島　明子,321-0923宇都宮市下栗町2750-2,028-635-9752,028-635-9298
社会保険労務士法人トライスタア,藤川　佳織,320-0806宇都宮市中央2-7-8ＳＳビル3階,028-688-0111,028-688-0112
吉田社会保険労務士事務所,吉田　哲也,321-0932宇都宮市平松本町1222-17,028-633-7236,028-633-7399
古澤労務管理事務所,古澤　志津江,321-2118宇都宮市新里町丙14-2,028-665-4320,028-665-4320
プラマックス社会保険労務士事務所,伊澤　三千夫,321-0942宇都宮市峰1-1-22ｶｲｶﾞﾋﾞﾙ1Ｆ,028-633-2267,028-633-2260
社会保険労務士西川西事務所,西川　育美,320-0056宇都宮市戸祭4-2-2,028-680-6009,028-678-9004
社会保険労務士法人 平出事務所,平出　宣幸,321-0983宇都宮市御幸本町4681-1Ｐ.Ｆ.ＣＨＯＭＥＢＵＩＬＤＥＲ2-Ａ ,028-666-0338,028-666-0395
三宅社会保険労務士事務所,三宅　秀明,320-0065宇都宮市駒生町1365-2,028-652-6150,028-652-6150
大根田労務経営管理事務所,大根田　博章,None,None,None
社会保険労務士事務所リーガルワン,石下　正人,321-0402宇都宮市今里町307-1,028-627-9682,028-674-3646
総務サポートサービス,小島　茂蔵,321-0165宇都宮市緑3-40-2,028-659-7592,028-659-7592
社会保険労務士法人 村上事務所,村上　勝彦,320-0846宇都宮市滝の原1-2-6ｻﾝﾀﾞｰｵﾌｨｽⅡ2階北,028-611-1622,050-3737-0009
ごだい社会保険労務士事務所,髙山　伸人,321-0135宇都宮市五代1-1-15,050-5579-0526,028-333-1003
ケーズコンサルティングサービス,金澤　健一,321-0167宇都宮市東浦町17-13,028-666-5982,028-615-7211
社会保険労務士法人ＴＭＣ宇都宮,葛西　美奈子,320-0075宇都宮市宝木本町1140-200,028-666-3005,028-666-3006
小嶋均社会保険労務士事務所,小嶋　均,321-0167宇都宮市東浦町19-12,028-666-8894,028-666-8895
大島社会保険労務士事務所,大島　由子,320-0806宇都宮市中央1-9-11税理士法人袖野会計内,028-651-3460,028-651-3461
菅野労務管理事務所,菅野　龍哉,320-0806宇都宮市中央1-7-3荻ビル4階,050-5585-7465,None
ＭＳＣ経営支援センター,内田　忠義,321-0131宇都宮市宮の内3-185,028-653-0838,None
みずき社会保険労務士事務所,金子　周平,320-0811宇都宮市大通り2-2-3明治安田生命・黒崎ビル５階,028-680-4511,028-680-4512
社会保険労務士錦堂綜合法務事務所,古田土　和佳,321-0962宇都宮市今泉町125-2,028-348-3501,028-333-1460
大谷社労士オフィス,大谷　好範,321-0968宇都宮市中今泉3-20-11,028-634-7055,None
眞分大輔社会保険労務士事務所,眞分　大輔,321-3226宇都宮市ゆいの杜6-20-3,090-4756-1798,028-663-7072
ＮＡＯ社会保険労務士事務所,笠原　奈緒,321-0101宇都宮市江曽島本町4-17,090-6181-5632,None
アイケイ社会保険労務士事務所,平松　萌郎,321-0942宇都宮市峰1-1-22ｶｲｶﾞﾋﾞﾙ1Ｆ,028-633-2267,028-633-2260
社会保険労務士法人　大塚事務所,山川　英希,321-3233宇都宮市上籠谷町1744,028-667-5951,028-667-6318
佐藤淳子社会保険労務士事務所,佐藤　淳子,320-0014宇都宮市大曽2-4-3,028-678-8372,0288-26-7315
None,猪瀬　里沙,None,None,None
宇都宮東社会保険労務士事務所,関口　久美子,None,None,None
潮田労務管理事務所,潮田　章,321-4326真岡市島750-6,0285-82-9869,0285-82-9914
近能労務管理事務所,近能　明正,321-4305真岡市荒町3-45-5,0285-82-2589,0285-83-5173
黒須労務管理事務所,黒須　好次,321-4337真岡市上高間木1-35-1,0285-83-5972,0285-83-6041
保坂労務管理事務所,保坂　武次,321-4502真岡市物井68,0285-75-0906,0285-75-0900
金敷社会保険労務士事務所,金敷　宜幸,321-3313芳賀郡芳賀町東高橋2886-2,028-678-1811,028-678-1812
佐藤労務管理事務所,佐藤　茂,321-3324芳賀郡芳賀町西水沼126,028-678-1100,028-678-1100
篠崎社会保険労務士事務所,篠崎　豊彦,329-0618河内郡上三川町しらさぎ2-34-26,0285-56-5783,0285-56-9590
鶴見社会保険労務士事務所,鶴見　栄,321-4522真岡市久下田西2-33-1,0285-74-3825,0285-81-3017
永山社会保険労務士事務所,永山　松生,321-4105芳賀郡益子町北中963-2,0285-72-7220,0285-85-5795
中澤社会保険労務士事務所,中澤　ひとみ,321-3423芳賀郡市貝町市塙1109,0285-68-3600,0285-68-3685
 板垣社会保険労務士事務所,板垣　静吾,321-4406真岡市京泉2189-66,0285-81-3002,0285-82-9713
福田社会保険労務士事務所,福田　哲夫,321-4361真岡市並木町3-4-17,0285-84-6031,0285-77-4585
葉月社会保険労務士事務所,三村　美奈子,321-4104芳賀郡益子町大字大沢1154,0285-72-7674,0285-72-7663
落合孝年社会保険労務士事務所,落合　孝年,321-4361真岡市並木町2-1-11,0285-83-1320,0285-83-1174
ＹＨ社会保険労務士オフィス,谷田部　浩史,329-0601河内郡上三川町上文挾238,090-4227-3658,028-665-3529
杉田社会保険労務士事務所,杉田　　智,321-3423芳賀郡市貝町市塙428-1,0285-68-1459,None
こばやし労務管理事務所,小林　信幸,329-0605河内郡上三川町西蓼沼662-1,0285-37-8901,0285-37-8902
橋本社会保険労務士事務所　真岡オフィス,橋本　律子,321-4362真岡市熊倉町4829-10,0285-82-5287,None
社会保険労務士齋藤事務所,齋藤　　禎,321-3704芳賀郡茂木町牧野2178,0285-81-3210,0285-81-3210
社会保険労務士やなぎさわ事務所,栁澤　　博,321-4337真岡市上高間木1-16-5,0285-81-7201,None
鹿沼労務管理事務所,福田　英昭,322-0045鹿沼市上殿町924-4,0289-62-0430,0289-63-0105
社会保険労務士法人アシスト,増渕　俊子,322-0048鹿沼市村井町139,0289-65-2125,0289-65-5993
渡辺労務管理事務所,渡辺　孝,322-0046鹿沼市樅山町73-2,0289-62-3491,None
社会保険労務士佐藤浩久事務所,佐藤　浩久,322-0005鹿沼市御成橋町1-2253-10,0289-62-2644,None
社会保険労務士法人アシスト,増渕　裕美,322-0048鹿沼市村井町139,0289-65-2125,0289-65-5993
鹿沼労務管理事務所,福田　勝大,322-0045鹿沼市上殿町924-4,0289-62-0430,0289-63-0105
出口労務管理事務所,出口　敞,322-0049鹿沼市花岡町6-2,0289-65-2225,0289-65-2226
はしもと社会保険労務士事務所,橋本　　剛,322-0058鹿沼市麻苧町1588,0289-63-2701,0289-63-2701
川田和宏社会保険労務士事務所,川田　和宏,322-0073鹿沼市西鹿沼町158-1,0289-62-2725,0289-77-7022
出口労務管理事務所,出口　　崇,322-0049鹿沼市花岡町6-2,0289-65-2225,0289-65-2226
小太刀社会保険労務士事務所,小太刀　篤,322-0029鹿沼市西茂呂4-11-2,0289-65-6668,None
大澤社会保険労務管理事務所,大澤　一彦,None,None,None
谷越社会保険労務士事務所,谷越　俊資,322-0025鹿沼市緑町1-2-8,0289-65-0452,None
社会保険労務士法人レクシード,鈴木　教大,322-0039鹿沼市東末広町1940-12シマダヤビル3Ｆ,0289-77-7011,0289-77-7021
社会保険労務士法人出口事務所,出口　和宏,322-0021鹿沼市上野町142-3,0289-63-1080,0289-63-1626
むらかわ社会保険労務士事務所,村川　敏幸,322-0074鹿沼市日吉町373-2,0289-78-0336,None
社会保険労務士大野裕一事務所,大野　裕一,322-0073鹿沼市西鹿沼町117,0289-62-3949,None
宮沢社会保険労務管理事務所,宮沢　昭夫,329-1574矢板市乙畑1630-22,0287-48-0057,0287-48-4136
植木労務管理事務所,植木　弘行,329-2712那須塩原市下永田4-1342-8,0287-37-1778,0287-36-7661
大田原経営労務事務所,大田原　博,324-0043大田原市浅香2-3388-6,0287-23-6221,0287-23-9406
菊池税務会計事務所,菊池　武幸,324-0056大田原市中央1-9-2,0287-22-3252,None
大森労務管理事務所,大森　裕人,324-0212大田原市須佐木459,0287-57-0075,0287-57-0177
菊地経営労務支援センター,菊地　雄一,324-0018大田原市上奥沢414-14,0287-24-1697,0287-24-1696
樫村社会保険労務士事務所,樫村　輝夫,329-2705那須塩原市南郷屋4-133,0287-36-3777,0287-36-8880
星労務管理事務所,星　玲子,324-0017大田原市奥沢776-6,0287-24-6760,0287-24-6761
大江労務管理事務所,大江　宣武,329-2704那須塩原市新南693-5,0287-36-7676,0287-37-8066
川島社会保険労務士事務所,川島　篤也,324-0051大田原市山の手2-19-2,0287-23-2511,0287-23-7564
助川労務管理事務所,助川　秀夫,324-0006大田原市市野沢1515,0287-22-6104,0287-22-6929
湯沢労務管理事務所,湯沢　健介,329-2754那須塩原市西大和6-31,0287-37-7625,0287-37-7625
三井労務管理事務所,三井　正孝,329-2722那須塩原市西朝日町4-23,0287-37-3865,0287-37-3865
増田社会保険労務士事務所,増田　郁代,325-0051那須塩原市豊町10-5,0287-62-1445,0287-62-9124
ワンズハピネス社会保険労務士事務所,奥田　照幸,329-3222那須郡那須町寺子丙81-32,0287-73-5058,0287-73-5057
八木澤社会保険労務士事務所,八木澤　和良,329-1571矢板市片岡1151-4,0287-48-4004,0287-48-7885
社会保険労務士法人とどろき,渡辺　由貴子,329-2712 那須塩原市下永田4-4ロワールハイム1Ｆ,0287-39-0396,0287-39-0401
社会保険労務士法人 原事務所,原　幹雄,325-0034那須塩原市東原3-715,0287-63-4648,0287-63-5480
社会保険労務士法人 とどろき,室井　隆司,329-2712那須塩原市下永田4-4ﾛﾜｰﾙﾊｲﾑ1Ｆ,0287-39-0396,0287-39-0401
社会保険労務士法人ＴＭＣ,岡部　正治,329-3157那須塩原市大原間西1-10-6,0287-67-3023,0287-67-3024
大林社労士事務所,大林　康子,324-0207大田原市河原593,0287-59-0763,0287-59-0763
前田人事労務サポートオフィス ,前田　貴志,329-3156那須塩原市方京1-16-5弁護士法人戸野・田並法律事務所内,0287-74-6761,050-3737-5561
社会保険労務士法人鈴木社労士事務所 ,鈴木　祐輔,325-0033那須塩原市埼玉428-7,0287-62-5477,0287-63-2379
髙橋社労士事務所,髙橋　　剛,329-2161矢板市扇町2-1519-62,0287-48-7882,0287-48-7883
和田社労士事務所,和田　幸夫,324-0051大田原市山の手1-4-10,0287-24-1607,0287-28-6530
藤田社労士事務所,藤田　正人,324-0041大田原市本町2-2829-167,0287-47-5685,0287-47-5686
None,戸野　俊介,None,None,None
久島労務管理事務所,勝　美憲,329-2754那須塩原市西大和3-41,0287-36-9911,0287-36-8550
千田労務管理事務所,千田　広志,321-2345日光市平成町1526-110,0288-26-2823,0288-26-6730
松本正広社労士事務所,松本　正広,321-1106日光市小倉821-9,0288-27-1102,None
斎藤社会保険労務士事務所,斎藤　学,321-1271日光市並木町19-9,0288-22-7176,0288-22-7183
沼尾労務管理事務所,沼尾　和夫,321-1261日光市今市1093-15パンフォーラム205,0288-22-8900,0288-22-8905
武井社会保険労務士事務所,武井　宏之,321-1274日光市土沢1810-8,0288-26-4588,None
斎藤社会保険労務士事務所,荒井　由美,321-1271日光市並木町19-9,0288-22-7176,0288-22-7183
豊田労務管理事務所,豊田　充穂,329-2333塩谷郡塩谷町肘内562-2,0287-46-0082,None
大森尚子社会保険労務士事務所,大森　尚子,321-2335日光市森友1589-13,0288-23-0965,0288-23-0965
ますぶち社会保険労務士事務所,増渕　　孝,329-2332塩谷郡塩谷町大宮2522,0287-53-7418,0287-53-7419
アイ・ブレインズ労務管理事務所,飯塚　眞督,326-0021足利市山川町52-2,0284-41-4509,0284-44-1277
アサヌマビジネスサポート,浅沼　邦夫,326-0808足利市本城2-1901-10大生建物ビル,0284-41-1381,0284-42-8739
加藤労務管理事務所,加藤　明夫,326-0846足利市山下町2478-4,0284-63-2204,None
金沢事務所,金澤　昌司,326-0035足利市芳町62-10,0284-44-1687,0284-44-0016
江連稔社会保険労務士事務所,江連　稔,326-0807足利市大正町869,0284-41-6804,0284-41-2440
社会保険労務士岩崎昇事務所,岩崎　昇,326-0056足利市大町10-4,0284-41-7301,None
社会保険労務士岩崎勝事務所,岩崎　勝,326-0056足利市大町10-4,0284-41-7301,None
小堀・藤橋社会保険労務士事務所,小堀　俊夫,326-0334足利市下渋垂町258-2,0284-73-2606,0284-73-5466
齋藤智社会保険労務士事務所,齋藤　智,326-0802足利市旭町539-8,0284-42-5094,0284-42-5094
岡部社会保険労務士事務所,岡部　光男,326-0058足利市元学町831-9,0284-41-2161,0284-44-0650
森英史社会保険労務士事務所,森　英史,326-0801足利市有楽町840,0284-41-5928,0284-41-5932
堀越社会保険労務士事務所,堀越　功,326-0831足利市堀込町2090-3,0284-71-5335,None
酒巻労務管理事務所,酒巻　秋夫,326-0814足利市通6-3168,0284-22-0581,0284-21-2502
横田正男社会保険労務士事務所,横田　正男,326-0801足利市有楽町842-7,0284-41-6391,0284-41-7227
川田事務所,川田　英司,326-0042足利市助戸東山町869-3,0284-42-7391,0284-44-2434
大竹幸子社会保険労務士事務所,大竹　幸子,326-0814足利市通5-2820-3,0284-21-4472,0284-21-0610
社会保険労務士渋木豊文事務所,渋木　豊文,326-0065足利市西砂原後町1204,0284-42-1231,0284-42-8430
きねぶち事務所,杵渕　徹,326-0843足利市五十部町349,0284-20-1184,0284-20-1185
関口社会保険労務士事務所,関口　良夫,326-0824足利市八幡町518-1-301,0284-73-9950,0284-73-9950
とちのき総合事務所,國定　裕之,326-0003足利市名草下町88,0284-41-9961,0284-41-9960
みよかわ社会保険労務士事務所,御代川　満,326-0843足利市五十部町349-1,0284-21-9090,0284-22-3767
新里労務管理事務所,新里　敏幸,326-0057足利市丸山町691-11,0284-41-7311,0284-41-3747
新葉社会保険労務士事務所,浅沼　光男,326-0335足利市上渋垂町246-6,0284-71-1319,0284-22-8756
社会保険労務士法人ＯＣＨＩ　ＯＦＦＩＣＥ,越智　菊男,326-0143足利市葉鹿町1-28-32,0284-64-1522,0284-64-0245
社会保険労務士　渡辺徹事務所,渡邊　徹,326-0055足利市永楽町1-5,0284-41-5043,None
加藤労務管理事務所,加藤　克一,326-0846足利市山下町2478-4,0284-63-2204,None
みらい労務管理総合事務所,三上　洋子,326-0808足利市本城2-1901-8,0284-41-1365,0284-41-1340
礪波社会保険労務士事務所,礪波　泰宏,326-0024足利市若草町2-67,0284-42-1776,0284-42-1776
社会保険労務士法人パートナーズメニュー,源田　裕久,326-0814足利市通3丁目2757足利商工会議所友愛会館3Ｆ,0284-64-8735,0284-64-8736
オレンジＳＲ法務事務所,宮下　恭子,326-0022足利市常見町2-17-7,0284-64-9822,0284-64-9827
社会保険労務士法人パートナーズメニュー,田巻　訓一,326-0814足利市通3丁目2757足利商工会議所友愛会館3Ｆ,0284-64-8735,0284-64-8736
ＩＢＳ社労士事務所,正田　裕之,326-0141栃木県足利市小俣町1690-7IBSプラザ２階,0284-63-3883,028-333-1451
むらまつ社会保険労務士事務所,村松　慶子,326-0041足利市助戸新山町1510-1Ｍ＆Ｍ203,0284-22-7790,0284-22-7791
鈴木社会保険労務士事務所,鈴木　慎也,326-0801足利市有楽町834,0284-42-6368,0284-41-6254
萩原社会保険労務士事務所,萩原　滋之,326-0807足利市大正町867-16,0284-41-5065,0284-41-5065
横塚社会保険労務士事務所,横塚　昌江,326-0053足利市伊勢町3-4-8ﾏﾁﾉﾃ4号室,0284-42-4208,None
よつば社会保険労務士事務所,小野　慶多,326-0338足利市福居町513-6,0284-55-4520,0284-55-4520
平田労務,平田　幸二,326-0065足利市西砂原後町1226-28,090-8274-8557,None
佐野労務コンサルタント事務所,須永　威,327-0844佐野市富岡町1440,0283-23-1744,0283-23-4406
青木労務管理事務所,青木　秀夫,327-0104佐野市赤見町3729-2,0283-25-3881,0283-25-4391
社会保険労務士篠原偉治事務所,篠原　偉治,327-0104佐野市赤見町3310-4,0283-25-1210,0283-25-1142
初谷総合事務所,初谷　明,327-0501佐野市葛生東1-10-16,0283-86-4314,0283-86-4314
社会保険労務士法人田村社労士事務所,田村　桂介,327-0831佐野市浅沼町801,0283-27-2677,0283-27-2880
渡辺社会保険労務士事務所,渡辺　浩美,327-0102佐野市出流原町799,0283-26-0230,0283-26-0240
小林社会保険労務士事務所,小林　紀夫,327-0007佐野市金吹町2340-10,0283-20-5014,0283-20-5015
岡安社会保険労務士事務所,岡安　徹雄,327-0012佐野市大蔵町2927,0283-22-5726,None
社会保険労務士関塚事務所,関塚　博司,327-0822佐野市越名町381,0283-85-7281,None
藤田社会保険労務士事務所,藤田　直之,327-0317佐野市田沼町292-4,0283-62-6482,0283-62-1151
矢野裕基社会保険労務士事務所,矢野　裕基,327-0004佐野市赤坂町954-9ﾌｪﾘｰﾁｪｱﾋﾟｱ203,0283-86-8635,0283-86-8635
吉野社会保険労務士事務所,吉野　　浩,327-0821佐野市高萩町1320-13,0283-24-1177,0283-24-3123
青栁社会保険労務士事務所,青栁　清一,327-0801佐野市富士町1067 ,090-4002-7152,None
尾藤社会保険労務士事務所,尾藤　千鶴,327-0831佐野市浅沼町337-10,090-4963-1959,None
久保労務管理事務所,加藤　俊典,327-0315佐野市吉水駅前3-9-5,0283-62-1410,None
椎名宮﨑社会保険労務士法人,椎名　剛,323-0822小山市駅南町4-31-12,0285-27-6616,0285-27-6617
社会保険労務士町田英事務所,町田　英,328-0032栃木市神田3-3,0282-22-0099,0282-23-6383
社会保険労務士法人作道事務所,作道　義明,323-0034小山市神鳥谷3-9-24,0285-23-6172,0285-23-7279
田上財務経営センター,田上　中,328-0024栃木市樋ノ口町48,0282-23-7261,None
山岸社会保険労務士事務所,山岸　義明,328-0011栃木市大宮町2520-29,0282-27-8889,0282-27-2229
松浦労務管理事務所,松浦　良雄,328-0053栃木市片柳町1-15-1,0282-22-1334,0282-22-1025
森田社会保険労務士事務所,森田　恵美子,328-0075栃木市箱森町31-11,0282-24-4302,0282-24-9895
岩井労務管理事務所,岩井　正夫,323-0820小山市西城南3-3-2,0285-28-2855,0285-28-6998
柏田労務管理事務所,柏田　雅幸,323-0062小山市大字立木1500-1,0285-25-8241,0285-25-8241
唐木田社会保険労務士事務所,唐木田　有作,329-4308下都賀郡岩舟町下津原322,0282-55-4595,0282-55-5900
高橋社会保険労務士事務所,高橋　美代子,329-0206小山市東間々田3-13-7,0285-38-7450,None
生井労務管理事務所,生井　一男,329-4401栃木市大平町牛久460-2,0282-24-5465,None
藤沼労務管理事務所,藤沼　清市,323-0151小山市田川973,0285-49-1702,0285-49-3621
社会保険労務士毛塚事務所,毛塚　勝行,328-0015栃木市万町14-21,0282-22-1613,0282-22-1613
深出労務管理事務所,深出　規夫,321-0203下都賀郡壬生町幸町1-5-12,0282-86-1425,None
中根労務経営事務所,中根　好雄,329-0211小山市暁2-2-28,0285-45-3873,0285-45-4109
長坂労務行政事務所,長坂　俊夫,329-0207小山市美しが丘3-12-15,0285-41-5062,0285-41-5182
町田社会保険労務士事務所,町田　久美子,323-0001小山市大字小宅879,0285-32-1610,0285-32-1611
大橋労務管理事務所,大橋　恭子,329-0201小山市粟宮1659-2,0285-45-5594,0285-37-6724
石郷岡社会保険労務士事務所,石郷岡　耕一,323-0807小山市城東1-6-32-2F,0285-22-3511,0285-22-3527
須藤社会保険労務士事務所,須藤　忠良,321-0212下都賀郡壬生町寿町5-5,0282-81-0331,0282-81-0332
根岸労務管理事務所,根岸　愼治,328-0012栃木市平柳町2-19-18ｻﾝﾊｲﾂＢ201,0282-88-0794,None
